kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
Jakarta Timur,Jatinegara,Kampung Melayu,"01, 02, 03, 04, 05, 06, 07, 08",8,88,"2,919",9057,30 - 200 ,"21, 27, 28",3,0,0,0,0,0,0,
Jakarta Timur,Kramat Jati,Cawang,"01, 02, 03, 05, 08, 12",6,29,1369,4086,30 - 100,21,1,0,0,0,0,0,0,
Jakarta Timur,Pasar Rebo,Pekayon,"04, 07",2,0,0,18,10 - 120 ,"27, 28",2,0,0,0,0,18,0,
Jakarta Timur,Pasar Rebo,Kampung Baru,"06, 07",2,3,0,0,10 - 120 ,"27, 29",2,0,0,0,0,0,0,
Jakarta Timur,Ciracas,Rambutan,"02, 03, 05, 06",4,20,0,20,10 - 100 ,"27, 30",2,0,0,0,0,20,1,
Jakarta Timur,Ciracas,Ciracas,"03, 05, 06",3,6,0,0, 10 - 30 ,"27, 31",2,0,0,0,0,0,0,
Jakarta Timur,Ciracas,Cibubur,"02, 03, 10, 12",4,14,0,0, 10 - 80 ,"27, 32",2,0,0,0,0,0,0,
Jakarta Selatan,Cilandak,Lebak Bulus,8,1,1,0,0,10,28,1,0,0,0,0,0,0,
Jakarta Selatan,Pesanggrahan,Ulujami,"02, 05, 08",3,3,0,0, 10 - 30 ,28,1,0,0,0,0,0,0,
Jakarta Pusat,,,,,,,,,,,0,0,0,0,0,0,
Jakara Barat,Cengkareng,Duri Kosambi,2,1,3,0,0, 10 - 20 ,7,1,0,0,0,0,0,0,
Jakara Barat,Cengkareng,Rawa Buaya,"01, 02, 03, 04",4,6,500,2068, 20 - 30 ,7,1,0,0,0,0,0,0,
Jakara Barat,Kembangan,Kembangan Utara,"01, 02, 03",3,3,20,50, 10 - 50 ,7,1,0,0,0,0,0,1,
Jakarta Utara,,,,0,0,0,0,,,,0,0,0,0,0,0,
