kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_jiwa,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",8,30 - 100 ,"18, 19, 20                             ",3,21,111,2856,7860,0,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Kramat Jati,11,1,30 - 50 ,"18, 19                             ",2,2,22,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Dukuh,"003, 004",2,20 - 100 ,"18, 19                             ",2,4,8,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,6,1,20 - 50 ,19,1,1,2,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Kalisari,"003, 011",2,30 - 50 ,"18, 19                             ",2,4,0,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Cijantung,"003, 006, 007",3,30 - 50 ,"18, 19                             ",2,6,0,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Makasar,7,1,30 - 50 ,19,1,1,1,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Pesangrahan,Ulujami,"002, 003, 005, 007",4,  10 - 80 ,"05, 18, 19                             ",3,7,16,619,1942,0,0,0,0,245,120,4,0
Jakarta Selatan,Pesangrahan,Pesanggrahan,1,1,  10 - 15 ,19,1,1,5,119,340,0,0,0,0,0,0,0,0
Jakarta Selatan,Pesangrahan,Petukangan Selatan,3,1,  10 - 20 ,19,1,1,2,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,3,1,40 - 50 ,18,1,1,2,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Jati Padang,"002, 003, 004, 006, 010",5,0 - 95 ,19,1,5,20,0,0,0,0,0,0,198,198,3,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"001, 002, 003",3,25 - 35 ,19,1,3,0,0,0,0,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,3,1,20 - 150 ,22,1,1,1,0,0,0,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,"005, 007",2,  10 - 20 ,5,1,2,2,20,106,0,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,5,1,20 - 60 ,"05, 19, 20, 22                           ",4,6,34,2390,4812,0,0,0,0,0,0,0,0
