kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Bidara Cina,"001, 002, 003, 004, 005, 006, 007, 010, 011, 013, 014, 015, 016",13,99,4575,16706,50  - 300 ,"01, 02, 03, 04, 05, 06, 07, 09, 10, 11, 22, 23, 24, 25, 26, 27, 28     ",17,0,0,0,0,5527,21,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",8,93,6825,18973,30 - 250 ,"01, 02, 03, 04, 05, 06, 07 , 08, 09, 10, 11, 12, 13, 14, 22, 23, 24, 25, 26, 27, 28",21,0,0,0,0,4864,18,0
Jakarta Timur,Jatinegara,Cipinang Muara,"001, 002",2,11,612,2448,50 - 150 ,"01, 02",2,0,0,0,0,150,1,0
Jakarta Timur,Jatinegara,Cipinang Besar Selatan,13,1,3,193,552,50 - 100 ,"01, 02",2,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 005, 008, 012",6,29,1999,6397,50 - 200 ,"01, 02, 03, 04, 05, 06, 07, 22, 23, 24, 25, 26, 27                    ",13,0,0,0,0,3811,8,0
Jakarta Timur,Kramat Jati,Cililitan,"005, 006, 007, 015, 016",5,27,902,2783,10 - 200 ,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 22, 23, 24, 25, 26, 27",20,0,0,0,0,1443,6,0
Jakarta Timur,Kramat Jati,Balekambang,5,1,1,18,35, 10 - 30,"03, 04, 05, 06      ",4,0,0,0,0,35,1,0
Jakarta Timur,Makasar,Makasar,"004, 005, 006, 007",4,22,1032,4380,20 - 100,1,1,0,0,0,0,477,3,0
Jakarta Timur,,Cipinang Melayu,"002, 003, 004, 005, 009, 010, 011, 012",8,39,2195,9703,30 - 100 ,"01, 04, 05, 06, 07",5,0,0,0,0,1025,3,0
Jakarta Timur,Ciracas,Rambutan,"003, 005, 006",3,0,0,0,40 - 75 ,22,1,0,0,0,0,0,0,0
